Subnet,Network View,Comment
10.136.30.0/24,default,USON: In-Use
10.136.50.0/24,default,10.136.50.0/24
10.136.52.0/24,default,10.136.52.0/24
10.136.53.0/24,default,USON: BOU1 - Boulder Wireless
10.136.60.0/24,default,USON: In-Use
10.136.152.0/24,default,10.136.152.0/24
10.138.9.0/24,default,USON: In-Use
10.138.26.0/24,default,10.138.26.0/24
10.138.28.0/24,default,USON: Brooksville
10.138.30.0/24,default,USON: Brooksville
10.138.32.0/24,default,10.138.32.0/24
10.141.4.0/24,default,USON: In-Use
10.141.5.0/24,default,USON: In-Use
10.141.6.0/24,default,USON: In-Use
10.142.8.0/24,default,10.142.8.0/24
10.142.15.0/24,default,10.142.15.0/24
10.142.16.0/24,default,10.142.16.0/24
10.142.18.0/24,default,10.142.18.0/24
10.142.19.0/24,default,10.142.19.0/24
10.142.21.0/24,default,USON: In-Use
10.142.22.0/24,default,USON: In-Use
10.142.24.0/24,default,USON: In-Use
10.142.120.0/24,default,10.142.120.0/24
10.142.160.0/24,default,10.142.160.0/24
10.142.250.0/24,default,USON: In-Use
10.145.9.0/24,default,USON: In-Use
10.145.11.0/24,default,USON: In-Use
10.145.19.0/24,default,USON: In-Use
10.149.4.0/24,default,USON: In-Use
10.152.9.0/24,default,10.152.9.0/24
10.152.11.0/24,default,USON: In-Use
10.152.12.0/24,default,10.152.12.0/24
10.152.15.0/24,default,USON: FRB1 - Management
10.152.16.0/24,default,10.152.16.0/24
10.152.18.0/24,default,USON: KER1 -
10.152.19.0/24,default,USON: ???? - Downlink to 10.152.19.2
10.152.20.0/24,default,SAA3 - Wired Desktops
10.152.21.0/24,default,USON: ???? - Link to Mobile PET
10.152.23.0/24,default,USON: SAA6 - Management
10.152.25.0/24,default,10.152.25.0/24
10.152.26.0/24,default,USON: MBL1 - Management
10.152.27.0/24,default,SAA4 - Wired desktops
10.152.28.0/24,default,USON: In-Use
10.152.29.0/24,default,SAA4 - Radiation VLAN
10.152.200.0/24,default,SAA3 - Radiation
10.152.230.0/24,default,USON: SAA6 - Radiation VLAN
10.152.250.0/24,default,USON: SAA1 - ATT-OPTEMANmetroe 100 Mb / 31.L1XN.500227 / mon
10.153.0.0/24,default,USON: In-Use
10.153.10.0/24,default,10.153.10.0/24
10.153.11.0/24,default,10.153.11.0/24
10.153.12.0/24,default,10.153.12.0/24
10.153.14.0/24,default,10.153.14.0/24
10.153.15.0/24,default,10.153.15.0/24
10.153.17.0/24,default,10.153.17.0/24
10.153.19.0/24,default,10.153.19.0/24 WIN1
10.153.20.0/24,default,10.153.20.0/24
10.153.22.0/24,default,USON: In-Use
10.153.23.0/24,default,USON: In-Use
10.153.110.0/24,default,USON: In-Use
10.153.120.0/24,default,USON: In-Use
10.153.240.0/24,default,USON: In-Use
10.153.241.0/24,default,USON: In-Use
10.153.242.0/24,default,USON: In-Use
10.153.243.0/24,default,USON: In-Use
10.153.250.0/24,default,USON: In-Use
10.154.10.0/24,default,CHE1 -
10.154.13.0/24,default,10.154.13.0/24
10.154.14.0/24,default,10.154.14.0/24
10.154.17.0/24,default,SUF1 -
10.154.21.0/24,default,10.154.21.0/24
10.154.23.0/24,default,10.154.23.0/24
10.154.25.0/24,default,10.154.25.0/24
10.154.26.0/24,default,10.154.26.0/24
10.154.27.0/24,default,10.154.27.0/24
10.154.250.0/24,default,Verizon MOE (Metro-E) for VOA
10.155.8.0/24,default,10.155.8.0/24
10.155.11.0/24,default,10.155.11.0/24
10.155.12.0/24,default,10.155.12.0/24
10.155.13.0/24,default,10.155.13.0/24
10.155.14.0/24,default,10.155.14.0/24
10.155.15.0/24,default,USON: PUL1 Desktops
10.155.16.0/24,default,USON: BLA1 Desktops
10.155.100.0/24,default,USON: ROA3 - Radiation VLAN Devices
10.155.110.0/24,default,USON: In-Use
10.156.8.0/24,default,USON: In-Use
10.156.12.0/24,default,USON: In-Use
10.157.8.0/24,default,USON: In-Use
10.158.9.0/24,default,USON: In-Use
10.158.11.0/24,default,USON: In-Use
10.158.12.0/24,default,USON: In-Use
10.158.20.0/24,default,USON: In-Use
10.158.21.0/24,default,USON: In-Use
10.158.22.0/24,default,USON: In-Use
10.158.90.0/24,default,USON: In-Use
10.158.120.0/24,default,USON: In-Use
10.158.160.0/24,default,USON: In-Use
10.159.8.0/24,default,USON: <disaffiliated: 2014-02-27>
10.159.9.0/24,default,USON: <disaffiliated: 2014-02-27>
10.159.10.0/24,default,USON: <disaffiliated: 2014-02-27>
10.159.11.0/24,default,USON: <disaffiliated: 2014-02-27>
10.162.16.0/24,default,USON: In-Use (UNUSED?)
10.195.48.0/24,default,USON: In-Use
10.195.57.0/24,default,USON: In-Use
10.201.0.0/24,default,USON: In-Use (UNUSED?)
10.203.0.0/24,default,USON: In-Use (UNUSED?)
10.205.0.0/24,default,USON: In-Use (UNUSED?)
10.238.1.0/24,default,USON: DAL4 - In-Use
10.239.3.0/24,default,USON: In-Use
10.239.244.0/24,default,USON: In-Use
10.46.250.0/25,default,MIN7 - WAN_ISP|CLINK|QMOE-MetroE|CID:15.KXGS.096297..ACSO|LID:|BW:400M/
10.85.4.0/27,default,10.85.4.0/27
10.85.4.32/27,default,10.85.4.32/27
10.135.49.0/27,default,USON:[UNUSED]
10.136.49.96/27,default,USON: In-Use
10.136.49.128/27,default,USON: THO1 - RADIATION NETWORK
10.136.49.160/27,default,USON: LIT3 - Littleton Radiation network
10.136.75.32/27,default,USON: HLR1 - RADIATION NETWORK
10.14.201.0/24,default,BIR2 - 10.14.201.0_Wireless_mckguest
10.254.109.0/25,default,Ruther Glen - Loopbacks
10.254.109.128/25,default,RUT1 Ruther Glen - Management Addresses
10.136.13.0/28,default,USON: Mitel PBX Site 100241
10.132.100.0/23,default,WDL1 USON Mckcorporate vlan 101
10.98.144.0/24,default,CHA1 - Charleston User1
10.98.145.0/24,default,CHA1 - Charleston VoIP1
10.98.146.0/24,default,CHA1 - Charleston User2
10.98.147.0/24,default,CHA1 - Charleston VoIP2
10.98.148.0/24,default,CHA1 - Charleston User3
10.98.149.0/24,default,CHA1 - Charleston VoIP3
10.98.150.0/24,default,CHA1 - Charleston reserved
10.98.151.0/25,default,CHA1 - Charleston reserved
10.98.152.0/24,default,CHA1 - Charleston Printers
10.98.153.0/24,default,CHA1 - Charleston reserved
10.98.154.0/24,default,CHA1 - Charleston mckcorporate
10.98.155.0/24,default,CHA1 - Charleston reserved
10.98.156.0/24,default,CHA1 - Charleston reserved
10.98.157.0/24,default,CHA1 - Charleston Servers
10.98.158.0/24,default,CHA1 - Charleston reserved
10.98.159.0/24,default,CHA1 - Charleston reserved
10.90.32.0/24,default,USON: NAT for 10.90.1.0/24
10.90.33.0/24,default,USON: NAT for 10.90.2.0/24
10.90.34.0/24,default,USON: NAT for 10.90.3.0/24
10.90.35.0/24,default,USON: NAT for 10.90.5.0/24
10.90.36.0/24,default,USON: NAT for 10.90.6.0/24
10.254.220.0/26,default,Keane Loopbacks
10.90.37.0/24,default,USON: BRN2 - PBX
10.90.38.0/24,default,USON: BRN2 - LAN
10.254.217.0/26,default,MRS1 - Peak 10 MGMT and Loopback
10.255.217.0/26,default,MRS1 - Peak 10 Routed Links
10.148.23.0/24,default,10.148.23.0/24
10.148.24.0/24,default,"USON: Northwest Cancer Specialists, P.C."
10.148.240.96/29,default,"USON: Northwest Cancer Specialists, P.C."
10.11.82.0/27,default,MRS1 - Prod Server Network
10.254.95.64/26,default,MPT practice partners MGMT
10.255.95.0/25,default,MPT Practice Partner
10.1.18.0/24,default,Reserved for Portico - Site Closed
172.19.108.0/24,default,TCS Noida Data
172.19.109.0/24,default,TCS Noida VoIP
172.19.111.0/24,default,NDH1 Extranet Tunnel NDH1-EXT-GRT2
10.255.183.32/30,default,TCS-India-MPLS Management Network Inside
10.14.134.0/24,default,MTG1 - Secure Guest Access VLAN
192.168.150.0/24,default,Server_Load_Balanced
10.25.88.0/24,default,SCA1 - KNAPP VLAN Addresses
172.18.22.0/24,default,DDC Lab
10.14.138.0/24,default,PHX1 - Secure Guest Access VLAN
63.241.111.160/27,default,SID-16879 ATTWH-63-241-111-160-27-0901233118
10.48.60.0/24,default,Unused-RelayHealth NDH DMZ
10.255.146.88/29,default,USON ME EVPN FW
10.14.140.0/24,default,NWT1
10.19.64.0/19,default,RelayHealth(TSH) DDC
10.19.96.0/19,default,RelayHealth(TSH) DDC
10.19.128.0/19,default,DDC RLH (TSH) Internal
10.19.160.0/19,default,RelayHealth(TSH) DDC
10.19.192.0/19,default,RelayHealth(TSH) DDC
10.19.0.0/21,default,DDC RLH (TSH) DMZ
10.19.8.0/21,default,DDC RLH (TSH) DMZ
10.19.16.0/21,default,DDC RLH (TSH) DMZ
10.19.24.0/21,default,DDC RLH (TSH) DMZ
172.30.32.0/19,default,NDH RLH TSH BACKUP - NONROUTED
172.30.128.0/19,default,DDC RLH TSH BACKUP - NONROUTED
10.254.5.128/27,default,Open 3/6/19
10.254.5.160/27,default,Open 3/6/2019
10.48.164.0/22,default,NDH RLH TSH Internal
10.48.168.0/22,default,NDH RLH TSH Internal
10.48.172.0/22,default,NDH RLH TSH Internal
10.48.176.0/22,default,NDH RLH TSH Internal
10.48.180.0/22,default,NDH RLH TSH Internal
10.48.184.0/22,default,NDH RLH TSH Internal
10.48.188.0/22,default,NDH RLH TSH Internal
10.48.160.0/24,default,NDH1 - RLHPRD_VIP3
10.48.161.0/24,default,NDH RLH TSH Internal
10.48.162.0/24,default,NDH RLH TSH ISG FW PRD APP4 VLN264
10.48.163.0/24,default,NDH RLH TSH Internal
10.38.7.0/24,default,IRE1 - Telepresence VLAN
10.254.42.0/25,default,OVB1 - Olive Branch AP management
10.90.5.0/24,default,10.90.5.0/24
10.90.20.0/24,default,Secondary_Telepresence_VLAN
172.22.32.0/20,default,USON: Rogue partner nets
10.86.64.0/24,default,USON: SID 449762 -- Flower Mound
10.86.65.0/24,default,USON: SID 449762 -- Flower Mound
10.255.182.16/30,default,NDH1 -  LDA1-DSW1 to COR1
10.255.182.28/30,default,NDH1
10.255.182.32/30,default,NDH1
10.255.182.36/30,default,NDH1
10.255.182.40/30,default,NDH1
10.255.182.48/30,default,NDH1
10.255.182.52/30,default,NDH1
10.255.182.56/30,default,NDH1
10.255.182.60/30,default,NDH1
10.255.182.64/30,default,NDH1
10.255.182.68/30,default,NDH1
10.255.182.72/30,default,NDH1
10.255.182.76/30,default,NDH1
10.255.182.88/30,default,NDH1-MDFA1-DSWs->NDH1-ACI-EIGRP Peering
10.255.182.92/30,default,NDH1-MDFA1-DSWs ---> NDH1-ACI-EIGRP Peering
10.255.182.96/30,default,NDH1
10.255.182.100/30,default,NDH1
10.255.182.104/30,default,NDH1
10.255.182.108/30,default,NDH1
10.255.182.112/30,default,NDH1
10.255.182.116/30,default,NDH1
10.255.182.120/30,default,NDH1
10.255.182.124/30,default,NDH1-USON-DSW/DSW2 EIGRP Peering
10.255.182.136/30,default,NDH1
10.255.182.140/30,default,NDH1
10.255.182.144/30,default,NDH1
10.255.182.148/30,default,NDH1
10.255.182.152/30,default,NDH1
10.255.182.156/30,default,NDH1
10.255.182.160/30,default,NDH1
10.255.182.164/30,default,NDH1
10.255.182.192/30,default,NDH1
10.255.182.196/30,default,NDH1
10.255.182.200/30,default,NDH1
10.255.182.204/30,default,NDH1
10.255.182.208/30,default,NDH1
10.255.182.212/30,default,NDH1-MDFA1-COR1-DSW1 Po4
10.255.182.216/30,default,
10.255.182.220/30,default,
10.255.182.224/30,default,NDH1-VIPTELA-LAN
10.255.182.228/30,default,NDH1-VIPTELA-LAN
10.255.182.232/30,default,NDH1
10.255.182.236/30,default,NDH1
10.255.182.240/30,default,NDH1-FAX-ART2 For MMS
10.255.182.244/30,default,NDH1-FAX-ART2 For MMS
10.255.182.248/30,default,NDH1-MDFA1-DSW1/2-int-PC3
10.255.182.252/30,default,NDH1
10.255.182.80/29,default,NDH1
10.136.61.0/24,default,USON: PBL2 - Rocky Mountain Cancer Centers
10.136.32.0/24,default,USON: BU16122
10.50.3.0/24,default,10.50.3.0/24
10.50.8.0/22,default,10.50.8.0/22
10.50.80.0/24,default,10.50.80.0/24
10.36.24.0/24,default,OVB1 - McKDcOps
10.138.16.0/24,default,USON: New Port Richey
10.138.40.0/24,default,10.138.40.0/24
10.138.17.0/24,default,USON: New Port Richey
10.138.18.0/24,default,USON: New Port Richey
10.138.29.0/24,default,USON: Brooksville
10.138.36.0/28,default,USON: New Port Richey
10.138.36.16/28,default,USON: New Port Richey
10.138.36.32/28,default,USON: Brooksville
10.138.41.0/24,default,USON: Tampa Colo
10.255.110.64/27,default,unused
10.14.139.0/24,default,DDC1 - Secure Guest Access VLAN
10.5.152.0/22,default,DDC1 - PHARAM_ORDA DHCP Scope
10.122.92.0/22,default,NDH1 - NDH1- Pharma ORDA DHCP
10.250.0.0/23,default,USON: In-Use
10.250.50.0/29,default,USON: In Use
10.25.90.0/24,default,SCA1 - DCF VLAN Addresses
10.255.111.64/28,default,CLT1 uplinks
10.255.111.16/28,default,NBP1 uplinks
10.254.111.112/28,default,
10.254.111.160/28,default,BAR1 MGMT
10.254.111.176/28,default,MID1 MGMT
10.255.110.128/27,default,NDH1-Hosted-ASP GRE Interfaces
206.203.117.112/29,default,
10.14.142.0/24,default,BOS1 - Secure Guest Access VLAN mckguest
10.254.85.64/27,default,NDH2_MGMT
10.254.85.96/27,default,NDH2_Loopbacks
10.255.218.0/25,default,Pharma MEM3 uplinks
10.254.218.0/25,default,Pharma MEM3 loopbacks
10.254.218.128/25,default,MEM3 - Memphis DC MGMT
10.209.5.0/24,default,LVN1 - DCF VLAN Addresses
10.14.146.0/24,default,HON1 - Guest network
10.255.168.128/25,default,Walmart - Orlando Uplinks
10.254.223.0/25,default,Cogiznat loopback
10.254.223.128/25,default,Cogiznat mgmt
10.14.240.192/26,default,CLW1 - Secure Guest Access
206.203.117.120/29,default,BCBS - KS
10.255.111.112/28,default,
10.255.111.160/28,default,BAR1 Uplinks
10.255.111.176/28,default,MID1 Uplinks
10.255.111.192/30,default,KUP1 Uplink
10.255.111.196/30,default,AVAILABLE - Uplinks
10.255.111.200/30,default,JGB1 Uplinks
10.254.111.192/30,default,KUP1 Mgmt
10.122.96.0/24,default,NDH1 - VOICE GRND and 1ST
10.122.97.0/24,default,NDH1 - VOICE 2ND FL
10.122.98.0/24,default,NDH1 - VOICE 3RD FL
10.122.99.0/24,default,NDH1 - VOICE 4TH FL
10.122.100.0/24,default,NDH1 - VOICE 5TH FL
10.122.101.0/24,default,NDH1 - VOICE SF1
10.14.147.0/24,default,BIR1 - Secure Guest Access VLAN
10.7.63.192/29,default,ITE_APP_FW
172.19.105.0/30,default,Genpact
10.254.111.32/28,default,SEA4
10.255.225.0/24,default,MON2 mckesson canada uplinks
10.254.225.0/25,default,MON2 Mckesson canada loopback
10.254.225.128/25,default,Mon2 Mckesson canada mgmt
10.255.224.0/25,default,RESERVED-LD6-Equinix-colo
10.254.224.0/25,default,MPT peervue LB
10.254.224.128/25,default,MPT peervue MGMT
10.2.5.0/24,default,Reserved for Portico
10.0.100.0/24,default,Portico - DBSi Servers
10.0.200.0/24,default,Reserved for Portico
10.98.176.0/20,default,"NRS1 - Blue Bell, PA - Portico - used for NAT"
10.255.226.0/25,default,Free
10.254.226.0/25,default,Sungard DR MGMT
10.254.226.128/25,default,Sungard DR MGMT
10.14.149.0/24,default,STL1 - Secure Guest Access VLAN mon
10.7.160.32/27,default,
10.104.151.0/24,default,"NDH2 - User Gnd, 1st Fl"
10.104.152.0/24,default,NDH2 - User 2nd Fl
10.104.153.0/24,default,NDH2 - User 3rd Fl
10.104.154.0/24,default,NDH2 - User 4th Fl.
10.104.155.0/24,default,NDH2 - User 5th Fl.
10.104.156.0/24,default,NDH2 - Printers
10.5.106.0/23,default,DDC1 - CX7 RoutedDev ACE VIP1
10.14.152.0/24,default,ANC1 - Guest network
10.14.153.0/24,default,CHI2 - Guest network
10.255.227.0/25,default,UK MPLS uplinks
10.254.227.0/25,default,McKesson Europe NOC Loopbacks
10.254.227.128/25,default,McKesson Europe NOC loopbacks
10.122.208.0/23,default,NDH1 - MGMT_HPOA
10.14.154.0/24,default,LAK1 - Secure Guest Access
10.26.3.0/24,default,NDH1: Per-Se legacy DMZ
10.26.5.0/24,default,10.26.5.0/24
10.26.6.0/24,default,NDH1: Legacy Per-Se VPN DMZ
10.254.92.128/25,default,CHI2 - Chicagoland DC MGMT
172.28.254.0/24,default,EME1 NAT Pool
10.254.188.128/25,default,SEA1 mgmt expansion
10.14.155.0/24,default,CNR1 - Secure Guest Access VLAN
192.168.159.0/29,default,PUBFW-ISPSW Vlan5
192.168.159.8/29,default,ASP-ASAPUB-VLAN 108
10.138.19.0/24,default,USON: New Port Richey
10.138.31.0/24,default,USON: Brooksville FL
10.255.84.8/30,default,
10.255.84.0/30,default,
10.14.159.0/24,default,GRP3 - SGA
10.14.160.0/24,default,OKL1 - description Secure Guest Access VLAN mon
10.254.39.0/26,default,BUF3 - MGMT
10.255.39.0/26,default,BUF3 - UPLINKS
10.254.7.192/27,default,
10.254.7.224/27,default,
10.65.4.0/25,default,ORL2 - User VLAN
10.65.4.128/25,default,ORL2 - MCK Corporate Wireless
10.254.228.0/25,default,MMS Chino DC loopbacks
10.254.228.128/25,default,MMS Chino DC MGMT
10.101.144.0/24,default,BUF2 - User VLAN
10.101.145.0/24,default,BUF2 - VoIP VLAN Addresses
10.255.201.192/27,default,
10.14.168.0/24,default,RUT1 - Secure Guest Access VLAN
10.254.40.192/26,default,NDH1-MHS-MGMT-TEMP
10.255.40.128/26,default,"BLU1 - Blue Bell, PA - Portico"
10.5.111.128/27,default,DDC1 - Primary Uplink
10.5.111.0/28,default,DDC1 - UCCE_PRV
10.255.110.224/27,default,PSL1 - Routed Network
10.12.160.0/24,default,CHO1 - User VLAN Addresses
10.12.161.0/24,default,CHO1 - VoIP VLAN Addresses
10.255.229.0/25,default,"EMI uplink network Richmond, BC"
172.19.1.136/29,default,NDH1 B2B VSYS #3 NDH1-ISP-DSW1 VLAN28 to NDH1-MDFA1-EXTFW1
172.19.1.144/29,default,NDH1 B2B VSYS #4 NDH1-ISP-DSW VLAN 29 to NDH1-MDFA1-EXTFW
143.112.123.160/29,default,NDH1-ISP-CSW VLAN28 -- NDH1 B2B VSYS #3
143.112.123.168/29,default,NDH1-ISP-CSW VLAN29 -- NDH1 B2B VSYS #4
10.5.111.64/26,default,DDC1 - UCCE_MGT
10.255.201.224/27,default,Mckesson Managed TSD1 Network
10.122.111.0/28,default,NDH1 - UCCE_PRV
10.122.111.64/26,default,NDH1 - MMS_UCCE_MGT
10.122.111.128/27,default,NDH1 - NDH1-UCCE-ASW1 Primary Uplink
10.122.111.192/27,default,NDH1 - NDH1-UCCE-ASW1 Secondary Uplink
10.122.111.32/27,default,NDH1 - MMS_UCCE_VIP
10.5.111.192/27,default,DDC1 - Secondary Uplink
10.5.111.32/27,default,DDC1 - UCCE_VIP
10.255.111.208/28,default,PIT2 Uplinks
10.255.111.224/27,default,PIT2 Uplinks
10.254.137.128/25,default,WNC1 - Winchester DC MGMT
10.14.161.0/24,default,FRM1 - Secure Guest Access VLAN
10.1.10.0/24,default,National Rehab -- tentative reserved
10.1.11.0/24,default,National Rehab -- tentative reserved
10.1.12.0/24,default,National Rehab -- tentative reserved
10.1.13.0/24,default,National Rehab -- tentative reserved
10.1.17.0/24,default,National Rehab -- tentative reserved
10.1.255.0/24,default,National Rehab -- tentative reserved
10.2.11.0/24,default,Portico - BLU1 VOIP
10.197.0.0/24,default,STR1 IBM - Replication
10.197.1.0/24,default,STR1 - MCK_ILO_SYS_MGMT
10.197.2.0/24,default,STR1 IBM - NBU 10.197.2.0/23
10.197.3.0/24,default,STR1 IBM - NBU 10.197.2.0/23
10.197.4.0/24,default,STR1 IBM - L2 VLAN 35
10.197.7.0/24,default,STR1 IBM Recovery Ctr
10.197.8.0/24,default,STR1 IBM Recovery Ctr
10.197.9.0/24,default,STR1 IBM Recovery Ctr
10.197.10.0/24,default,STR1 IBM Recovery Ctr
10.197.11.0/24,default,STR1 IBM Recovery Ctr
10.197.12.0/24,default,STR1 IBM Recovery Ctr
10.197.13.0/24,default,STR1 IBM Recovery Ctr
10.197.14.0/24,default,STR1 IBM Recovery Ctr
10.197.15.0/24,default,STR1 IBM Recovery Ctr
10.197.16.0/24,default,STR1 IBM Recovery Ctr
10.197.17.0/24,default,STR1 IBM Recovery Ctr
10.197.18.0/24,default,STR1 IBM Recovery Ctr
10.197.19.0/24,default,STR1 IBM Recovery Ctr
10.197.20.0/24,default,STR1 IBM Recovery Ctr
10.197.21.0/24,default,STR1 IBM Recovery Ctr
10.197.22.0/24,default,STR1 IBM Recovery Ctr
10.197.23.0/24,default,STR1 IBM Recovery Ctr
10.197.24.0/24,default,STR1 IBM Recovery Ctr
10.197.25.0/24,default,STR1 IBM Recovery Ctr
10.197.26.0/24,default,STR1 IBM Recovery Ctr
10.197.27.0/24,default,STR1 IBM Recovery Ctr
10.197.28.0/24,default,STR1 IBM Recovery Ctr
10.197.29.0/24,default,STR1 IBM Recovery Ctr
10.197.30.0/24,default,STR1 IBM Recovery Ctr
10.197.31.0/24,default,STR1 IBM - Firewall NAT Range
10.254.230.0/25,default,MedVentive loopback network
10.254.230.128/25,default,MedVentive MGMT network
10.14.171.0/24,default,PUY1- Guest Network
10.16.16.0/21,default,DDC-BACKUP_VLAN937
10.14.162.0/24,default,RCD1 - Secure Guest Access VLAN mckguest
10.108.64.0/23,default,NDH1 - None_Nated_UNIX_IPSubnet
10.108.66.0/23,default,NDH1 - None_Nated_Windows_IPSubnet
10.122.103.0/24,default,NDH1 - NDH2_Telepresence
10.14.170.0/24,default,MEM3 - Secure Guest Access VLAN
10.14.163.0/24,default,VIS1 - Secure Guest Access VLAN
10.1.8.0/24,default,National Rehab -- tentative reserved
10.1.9.0/24,default,National Rehab -- tentative reserved
10.1.14.0/24,default,National Rehab -- tenative reserved
10.65.5.0/27,default,PX07013534
10.65.6.128/27,default,ORL2 HVS Wilress
10.65.6.160/27,default,ORL2 HVS Parata
10.65.6.192/27,default,ORL2 HVS Open
10.65.6.224/28,default,ORL2 HVS GBI
10.65.6.240/28,default,ORL2 HVS Open
10.14.174.0/24,default,SAC1 - Guest network
10.5.26.0/23,default,DDC1 - ACE-CX8-RTPROD-VIP1
10.12.130.0/24,default,EVR2 - printer VLAN
10.12.66.0/24,default,SEA1 - PDMA VLAN
10.12.133.0/24,default,EVR2 - PDMA VLAN
10.14.246.0/24,default,CHO1 - Secure Guest Access VLAN
10.12.168.0/24,default,CHO1 - PDMA VLAN Addresses
10.255.252.0/24,default,DDC Internal GRE Tunnel to DDC1-VPN-GRT2
10.12.172.0/24,default,CHO1 - mckcorporate VLAN Addresses
10.12.174.0/24,default,CHO1 - handheld VLAN Addresses
10.12.166.0/24,default,CHO1 - printer VLAN Addresses
10.12.169.0/24,default,CHO1 - production server VLAN Addresses
10.12.170.0/24,default,CHO1 - corporate security VLAN Addresses
10.255.183.36/30,default,ATT MPLS Routed Link VLAN 87 NDH1-MAN-ASW1
10.255.183.40/30,default,ATT MPLS  Routed Link VLAN 54Extranet NDH1-MAN-ASW2
10.101.146.0/24,default,BUF2 - NAT RESERVED
10.0.50.0/24,default,Portico - DBSi DMZ
10.254.232.0/25,default,POR9 loopbacks
10.254.232.128/25,default,POR9 MGMT
10.255.232.0/25,default,POR9 uplinks
10.14.176.0/24,default,POR1 - Secure Guest Access VLAN
10.140.80.0/20,default,NIE EST Cisco Template
10.76.16.0/20,default,NIE MST Cisco Template (UNUSED?)
10.4.48.0/24,default,Cisco User VLAN 102
10.4.49.0/24,default,Cisco VoIP VLAN 103
10.4.50.0/24,default,CISCO NIE Reserved
10.4.51.0/24,default,CISCO NIE reserved
10.4.52.0/24,default,CISCO mckcorporate VLAN 120
10.4.53.0/24,default,CISCO Prod_Server VLAN 126
10.4.54.0/24,default,CISCO Printer VLAN 114
10.4.55.0/24,default,CISCO Corporate Security VLAN 122
10.4.56.0/24,default,CISCO Reserved
10.4.57.0/24,default,CISCO Reserved
10.4.58.0/24,default,CISCO Reserved
10.4.59.0/24,default,CISCO Reserved
10.4.60.0/24,default,CISCO Reserved
10.4.61.0/24,default,CISCO Reserved
10.4.62.0/24,default,CISCO Reserved
10.4.63.0/24,default,CISCO Reserved
10.4.64.0/24,default,CISCO USER VLAN 102
10.4.65.0/24,default,CISCO VoIP VLAN 103
10.4.66.0/24,default,CISCO Reserved
10.4.67.0/24,default,CISCO Reserved
10.4.68.0/24,default,CISCO mckcorporate VLAN 120
10.4.69.0/24,default,CISCO Prod_Server VLAN 126
10.4.70.0/24,default,CISCO Printer VLAN 114
10.4.71.0/24,default,CISCO Corporate Security VLAN 122
10.4.72.0/24,default,CISCO Reserved
10.4.73.0/24,default,CISCO Reserved
10.4.74.0/24,default,CISCO Reserved
10.4.75.0/24,default,CISCO Reserved
10.4.76.0/24,default,CISCO Reserved
10.4.77.0/24,default,CISCO Reserved
10.4.78.0/24,default,CISCO Reserved
10.4.79.0/24,default,CISCO Reserved
10.140.64.0/24,default,CISCO USER VLAN 102
10.140.65.0/24,default,CISCO VoIP VLAN 103
10.140.66.0/24,default,CISCO RESERVED
10.140.67.0/24,default,CISCO RESERVED
10.140.68.0/24,default,CISCO mckcorporate VLAN 120
10.140.69.0/24,default,CISCO PROD_SERVER VLAN 126
10.140.70.0/24,default,CISCO PRINTER VLAN 114
10.140.71.0/24,default,CISCO CORPORATE SECURITY VLAN 122
10.140.72.0/24,default,CISCO RESERVED
10.140.73.0/24,default,CISCO RESERVED
10.140.74.0/24,default,CISCO RESERVED
10.140.75.0/24,default,CISCO RESERVED
10.140.76.0/24,default,CISCO RESERVED
10.140.77.0/24,default,CISCO RESERVED
10.140.79.0/24,default,CISCO RESERVED
10.140.78.0/24,default,CISCO RESERVED
10.255.83.128/25,default,BLD1 IBM Recovery Ctr
10.1.19.0/24,default,Portico VPN - Site Closed
10.122.4.0/23,default,NDH1 - ACE-CX3-DEV-ROUTED
10.122.6.0/23,default,NDH1 - ACE-CX4-PROD-ROUTED
10.14.177.0/24,default,DQW1 - Secure Guest Access VLAN
192.168.64.0/22,default,DDC RLH DMZ NETScaler  VIP
192.168.68.0/22,default,DDC RLH DMZ Netscaler Server IPs
10.25.85.0/24,default,SCA1 - McKPharma VLAN
10.25.86.0/24,default,SCA1 - McKUtility1
10.25.87.0/24,default,SCA1- VLAN 126 - prod server
10.25.91.0/24,default,SCA1 - McKCorporate Wireless segment
10.25.92.0/24,default,SCA1 - Security_VLAN
10.25.93.0/24,default,SCA1 - McKDcOps
10.14.178.0/24,default,SCA1 - Secure Guest Access VLAN mon
10.255.233.0/25,default,USO the Woodlands - WLD1 uplinks
10.254.233.0/25,default,RRK10 loopbacks
10.254.111.196/30,default,AVAILABLE - Mgmt loopbacks
10.14.179.0/24,default,CHI1 - Secure Guest Access VLAN mckguest
10.254.61.32/27,default,Sungard Mgmt IPs VLAN 101
10.254.61.0/27,default,Sungard Loopbacks
10.114.56.0/22,default,NAT for 10.48.132.0/22
10.114.128.0/23,default,NAT for 10.51.0.0/23
10.114.130.0/23,default,NAT for 10.51.2.0/23
10.114.134.0/23,default,NAT for 10.49.0.0/23
10.114.0.0/24,default,NAT for 192.168.132.0/24
10.114.1.0/24,default,NAT for 192.168.133.0/24
10.114.2.0/24,default,NAT for 192.168.134.0/24
10.114.3.0/24,default,NAT for 192.168.135.0/24
10.114.4.0/24,default,NAT for 192.168.136.0/24
10.114.5.0/24,default,NAT for 192.168.137.0/24
10.114.6.0/24,default,NAT for 192.168.138.0/24
10.114.7.0/24,default,NAT for 192.168.139.0/24
